Ticker,Est Rev CAGR (3Y),Est EBIT CAGR (3Y),Hist Rev CAGR (5Y),Hist Rev CAGR (3Y),Hist EBIT CAGR (3Y),ROIC (FY),Gross Profit Margin % (FY),EBIT Margin % (FY),Net Income Margin % (FY),FCF Margin % (FY),Net Debt / EBITDA (FY),Volume (% SO),Country_Code,Industry_Code,P/E (NTM)
Stock-94940401,0.0846,0.5982,0.1647,0.2255,-0.2838,0.0309,0.5186,0.021,0.0263,0.0366,-7.42680712,0.015217997,US,Specialty_Retail,51.6
Stock-27841775,0.1006,0.2371,0.0987,0.1038,-0.2823,0.0429,0.0958,0.0443,0.0359,0.0446,2.777558462,0.007290479,CN,Food,29.1
Stock-50342569,0.0908,1.1888,-0.0045,0.0514,-0.277,0.0142,0.4752,0.0131,-0.0035,0.1058,5.202529309,0.002431315,DE,Textiles_Apparel_Lux_Goods,32.6
Stock-41543590,0.3097,0.5198,0.0032,-0.1011,-0.276,0.0095,0.2324,0.0171,0.0309,0.0371,-7.198840099,0.031987735,CN,Food,25.7
Stock-10044624,0.1277,0.1018,0.068,-0.1013,-0.2735,0.0617,0.2901,0.1179,0.1167,0.0554,-1.715237302,0.012530978,CN,HH_Durables,10.7
Stock-36945150,0.1747,0.3434,-0.0263,-0.0467,-0.2713,0.0512,0.1653,0.0845,0.0274,0.0214,-2.222975284,0.004077113,GB,HH_Durables,15.6
Stock-37546301,0.0166,0.1645,0.0468,0.0425,-0.264,0.0521,0.0742,0.0331,0.015,0.0273,2.746349206,0.008351798,US,Food,18.5
Stock-48747819,0.0244,0.0687,0.0017,-0.0463,-0.2638,0.0625,0.5309,0.0716,0.021,0.0745,-0.766105292,0.002989071,KR,Personal_Care,15.8
Stock-55748454,0.2457,0.3015,0.0715,0.0845,-0.263,0.0372,0.7011,0.0788,0.1166,0.0377,-9.857731187,0.003793147,CN,Personal_Care,25.2
Stock-44749793,-0.0151,0.0947,0.1763,-0.0725,-0.2603,0.0886,0.4487,0.106,0.0701,0.3455,-2.077441986,0.001921292,US,HH_Durables,17.8
Stock-71150337,0.0576,0.5397,0.0146,0.1153,-0.2577,0.0231,0.0876,0.0161,0.0087,0.0552,-1.028567257,0.003622964,US,Auto_Comps,11.4
